,Sample,cluster,dataset,cyp51a,TR34,Itraconazole,Posaconazole,Voriconazole,overall_resistant
169,122-B-1-75L-1,7,Environment,,,susceptible,susceptible,susceptible,susceptible
170,128-A-2-27s-1,7,Environment,,,susceptible,susceptible,susceptible,susceptible
171,153-A-2-48s-2,7,Environment,,,susceptible,susceptible,susceptible,susceptible
172,164-K-1-3L-2,7,Environment,,,susceptible,susceptible,susceptible,susceptible
173,167-K-1-34L-1,7,Environment,,,susceptible,susceptible,susceptible,susceptible
174,210-L-2-22-4,7,Environment,,,susceptible,susceptible,susceptible,susceptible
175,243-F-1-33L-2,7,Environment,,,susceptible,susceptible,susceptible,susceptible
176,264-I-1-22-5,7,Environment,,,susceptible,susceptible,susceptible,susceptible
177,265-I-1-22-4,7,Environment,,,susceptible,susceptible,susceptible,susceptible
178,269-I-1-32-2,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
179,289-I-1-2-2,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
180,305-B-1-48-5,7,Environment,,,susceptible,susceptible,susceptible,susceptible
181,319-B-1-30-1,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
182,393-A-3-43s-1,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
183,423-D-2-25L-3,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
184,452-C-1-51s-1,7,Environment,,,susceptible,susceptible,susceptible,susceptible
185,454-A-3-40L-1,7,Environment,,,susceptible,susceptible,susceptible,susceptible
186,459-H-1-21-5,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
187,473-E-1-7-1,7,Environment,,,susceptible,susceptible,susceptible,susceptible
188,476-H-1-21-9,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
189,487-E-1-20-2,7,Environment,,,susceptible,susceptible,susceptible,susceptible
190,540-K-1-1L-2,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
191,542-K-1-48s-1,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
192,545-K-1-8L-3,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
193,569-H-1-10-6,7,Environment,,,susceptible,susceptible,susceptible,susceptible
194,588-I-1-48-3,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
195,64-C-1-90L-1,7,Environment,,,susceptible,susceptible,susceptible,susceptible
196,649-G-2-22-4,7,Environment,,,susceptible,susceptible,susceptible,susceptible
