truth,pred,fold_id
environmental,0.571612994,3
environmental,0.720820686,3
environmental,0.517009923,3
environmental,0.876202076,3
environmental,0.721942358,3
environmental,0.549824251,3
environmental,0.717103521,3
clinical,0.472607721,3
environmental,0.515948011,3
environmental,0.810766108,3
clinical,0.438364227,3
clinical,0.491875389,3
environmental,0.894510853,3
environmental,0.603063657,3
environmental,0.633975288,3
environmental,0.384175204,3
clinical,0.435535842,3
environmental,0.531976954,3
environmental,0.576860747,3
environmental,0.446723331,4
environmental,0.481149695,4
clinical,0.6572859,4
clinical,0.673698642,4
environmental,0.475050719,4
environmental,0.588718374,4
environmental,0.573288859,4
clinical,0.727219884,4
environmental,0.841597929,4
clinical,0.718385518,4
environmental,0.706232173,4
clinical,0.589626824,4
environmental,0.415511976,4
clinical,0.758722566,4
environmental,0.845274442,4
environmental,0.813600762,4
environmental,0.490119792,4
clinical,0.468573934,4
environmental,0.731936956,4
clinical,0.386103758,4
environmental,0.941943684,4
environmental,0.792049401,4
environmental,0.558459147,4
environmental,0.515925611,4
environmental,0.611123619,4
clinical,0.494343211,4
environmental,0.487359267,4
environmental,0.484863188,4
environmental,0.767006049,4
environmental,0.648212964,4
clinical,0.596494013,4
environmental,0.756117554,4
environmental,0.719528571,4
environmental,0.616034151,4
environmental,0.37495438,4
environmental,0.547430878,4
environmental,0.445065849,4
environmental,0.480147,4
environmental,0.67109102,4
environmental,0.52199633,4
environmental,0.561544254,4
environmental,0.517591623,4
environmental,0.75323061,4
environmental,0.342352384,4
environmental,0.633910243,4
environmental,0.644888703,4
environmental,0.602022731,4
environmental,0.846019305,4
environmental,0.533979961,4
clinical,0.334547988,4
environmental,0.676871233,4
environmental,0.704622617,4
environmental,0.751422195,4
environmental,0.737958947,4
environmental,0.648485376,4
environmental,0.489311189,4
clinical,0.562365805,4
environmental,0.671357091,4
environmental,0.324156092,4
environmental,0.861584267,4
environmental,0.761290269,4
environmental,0.297557998,4
environmental,0.695325178,4
environmental,0.893926804,4
clinical,0.55487338,4
environmental,0.886686867,4
clinical,0.709197555,4
environmental,0.886569635,4
environmental,0.36021352,4
environmental,0.490102059,4
environmental,0.595053453,4
environmental,0.566501902,4
environmental,0.813414309,4
environmental,0.679039132,4
clinical,0.428303966,4
clinical,0.274337628,4
clinical,0.453485793,4
environmental,0.32800375,4
environmental,0.868225609,4
clinical,0.606696524,4
environmental,0.327364698,4
environmental,0.505636037,4
environmental,0.529593446,4
environmental,0.625701952,4
environmental,0.669349146,4
environmental,0.794431857,4
clinical,0.210277031,4
environmental,0.461407663,4
environmental,0.757627486,4
environmental,0.498298851,4
environmental,0.553279385,4
environmental,0.514875086,4
environmental,0.68211845,4
environmental,0.570274091,4
environmental,0.70615522,4
environmental,0.669519265,4
environmental,0.748235303,4
environmental,0.66867398,4
environmental,0.686161919,4
environmental,0.607931069,4
environmental,0.69920515,4
environmental,0.582832215,4
clinical,0.662162731,4
environmental,0.539521127,4
clinical,0.356566204,4
clinical,0.471716094,4
clinical,0.308463413,4
clinical,0.579651309,4
environmental,0.760579153,4
clinical,0.876225262,4
environmental,0.645691656,4
environmental,0.775060723,4
environmental,0.703661886,4
environmental,0.601863738,4
environmental,0.664392238,4
environmental,0.609211465,4
environmental,0.516593835,4
environmental,0.26641779,4
environmental,0.794772363,4
environmental,0.83101879,4
environmental,0.502828947,4
clinical,0.255511673,4
environmental,0.84263202,4
environmental,0.860033702,4
clinical,0.49179417,4
clinical,0.449608286,4
environmental,0.627175435,4
environmental,0.79589924,4
environmental,0.517717873,4
environmental,0.719167455,4
clinical,0.413493839,4
clinical,0.486627173,4
environmental,0.694079116,4
environmental,0.552919232,4
environmental,0.738032483,4
environmental,0.561149591,4
environmental,0.42656943,4
environmental,0.446734459,4
environmental,0.729886031,4
environmental,0.586324851,4
environmental,0.715754421,4
environmental,0.771186918,4
environmental,0.493679882,4
environmental,0.866427325,4
clinical,0.487981687,4
clinical,0.475870974,4
environmental,0.765155043,4
environmental,0.446612765,4
environmental,0.764648943,4
environmental,0.829572264,4
environmental,0.70170166,4
environmental,0.463530579,4
environmental,0.222542544,4
environmental,0.59464675,4
